ResourceName,StandardName,DisplayName,Definition,Groups,SimpleDataType,SourceResource,SugMaxLength,SugMaxPrecision,Synonyms,FrenchCanadianDisplayName,SpanishDisplayName,ElementStatus,RecordId,LegacyRecordId,LookupStatus,LookupName,RepeatingElement,PropertyTypes,Payloads,StatusChangeDate,RevisedDate,AddedInVersion,WikiPageTitle,WikiPageUrl,WikiPageId,TargetResourceKey,SourceResourceKey,BEDES
ResourceName,AboveGradeFinishedArea,Above Grade Finished Area,The finished area within the structure that is at or above the surface of the ground.,Structure,Number,,14,2,,Superficie finie au-dessus du niveau du sol,Área Completada por Encima del Piso,Active,e63a874,100311,,,No,"RESI,RLSE,RINC,MOBI,FARM",,2011-11-09,2021-06-17,,AboveGradeFinishedArea Field,https://ddwiki.reso.org/display/DDW20/AboveGradeFinishedArea+Field,2104909,,,"Location = ""Above grade"" Finished Status = ""Finished"" Area = [value]"
Property,AboveGradeFinishedAreaSource,Above Grade Finished Area Source,"The source of the measurements. This is a pick list of options showing the source of the measurement (e.g., Agent, Assessor, Estimate).",Structure,"String List, Single",,50,,,Source des mesures de la superficie finie au-dessus du niveau du sol,Fuente del Área Completada por Encima del Piso,Active,786c4f5,100820,Open with Enumerations,AreaSource,No,"RESI,RLSE,RINC,MOBI,FARM",,2016-06-21,2021-06-17,,AboveGradeFinishedAreaSource Field,https://ddwiki.reso.org/display/DDW20/AboveGradeFinishedAreaSource+Field,2104915,,,Origin = [value]
Property,AboveGradeFinishedAreaUnits,Above Grade Finished Area Units,"A pick list of the unit of measurement for the area (e.g., Square Feet, Square Meters).",Structure,"String List, Single",,25,,,Unité de mesure de la superficie finie au-dessus du niveau du sol,Unidades de Área Completada por Encima del Piso,Active,a728991,100821,Open with Enumerations,AreaUnits,No,"RESI,RLSE,RINC,MOBI,FARM",,2016-06-21,2023-08-25,,AboveGradeFinishedAreaUnits Field,https://ddwiki.reso.org/display/DDW20/AboveGradeFinishedAreaUnits+Field,2104923,,,
Property,AboveGradeUnfinishedArea,Above Grade Unfinished Area,The unfinished area within the structure that is at or above the surface of the ground.,Structure,Number,,14,2,,,,Active,63ebcb1,,,,No,"RESI,RLSE,RINC,MOBI,FARM",,2019-02-21,2019-02-21,2.0.0,AboveGradeUnfinishedArea Field,https://ddwiki.reso.org/display/DDW20/AboveGradeUnfinishedArea+Field,2104927,,,
Property,AboveGradeUnfinishedAreaSource,Above Grade Unfinished Area Source,"The source of the measurements of the unfinished area above grade. This is a pick list of options showing the source of the measurement (e.g., Agent, Assessor, Estimate).",Structure,"String List, Single",,50,,,,,Active,015ba62,,Open with Enumerations,AreaSource,No,"RESI,RLSE,RINC,MOBI,FARM",,2019-02-21,2019-02-21,2.0.0,AboveGradeUnfinishedAreaSource Field,https://ddwiki.reso.org/display/DDW20/AboveGradeUnfinishedAreaSource+Field,2104933,,,
Property,AboveGradeUnfinishedAreaUnits,Above Grade Unfinished Area Units,"A pick list of the unit of measurement for the unfinished area above grade (e.g., Square Feet, Square Meters).",Structure,"String List, Single",,25,,,,,Active,ad5c7a8,,Open with Enumerations,AreaUnits,No,"RESI,RLSE,RINC,MOBI,FARM",,2019-02-21,2019-02-21,2.0.0,AboveGradeUnfinishedAreaUnits Field,https://ddwiki.reso.org/display/DDW20/AboveGradeUnfinishedAreaUnits+Field,2104939,,,
Property,AccessCode,Access Code,The code to gain access through the secured gate for a property located behind an unmanned security gate such as in a gated community.,"Listing,Showing",String,,25,,GateCode,Code d’accès,Código de Acceso,Active,866356b,100860,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM",,2014-07-03,2023-08-25,,AccessCode Field,https://ddwiki.reso.org/display/DDW20/AccessCode+Field,2104908,,,
Property,AccessibilityFeatures,Accessibility Features,A list or description of the accessibility features included in the sale/lease.,Structure,"String List, Multi",,1024,,,Caractéristiques de l’accessibilité,Características de Accesibilidad,Active,444934c,100407,Open,AccessibilityFeatures,No,"RESI,RLSE,RINC,MOBI,FARM,COMS,COML",IDX,2018-12-26,2021-06-17,,AccessibilityFeatures Field,https://ddwiki.reso.org/display/DDW20/AccessibilityFeatures+Field,2104945,,,
Property,ActivationDate,Activation Date,Indicates when the listing agent intends to change the property to the Active status.,"Listing,Dates",Date,,10,,,,,Active,b8c9d46,,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",,2020-05-21,2020-05-21,2.0.0,ActivationDate Field,https://ddwiki.reso.org/display/DDW20/ActivationDate+Field,2104910,,,
Property,AdditionalParcelsDescription,Additional Parcels Description,"If additional parcels are included in the sale, a list of those parcel's IDs separated by commas. Do not include the first or primary parcel number, that should be located in the Parcel Number field.",Tax,String,,255,,,Description des parcelles additionnelles,Descripción Adicional de Parcelas,Active,a2c0b16,100282,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML",,2011-11-09,2021-06-17,,AdditionalParcelsDescription Field,https://ddwiki.reso.org/display/DDW20/AdditionalParcelsDescription+Field,2104911,,,
Property,AdditionalParcelsYN,Additional Parcels Yes/No,Indicates whether or not more than one parcel or lot is included in the sale.,Tax,Boolean,,,,,Parcelles additionnelles O/N,Parcelas Adicionales SN,Active,d6f33c3,100281,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML",,2014-07-03,2023-08-25,,AdditionalParcelsYN Field,https://ddwiki.reso.org/display/DDW20/AdditionalParcelsYN+Field,2104916,,,
Property,AnchorsCoTenants,Anchors & Cotenants,The main or most notable tenants as well as other tenants of the shopping center or mall in which the commercial property is located.,Characteristics,String,,1024,,,Magasins piliers colocataires,Co Inquilinos Ancla,Active,f43d94b,100922,,,No,"COMS,COML",,2014-07-03,2021-06-17,,AnchorsCoTenants Field,https://ddwiki.reso.org/display/DDW20/AnchorsCoTenants+Field,2104912,,,
Property,Appliances,Appliances,A list of the appliances that will be included in the sale/lease of the property.,Equipment,"String List, Multi",,1024,,,Appareils électroménagers,Electrodomésticos,Active,bd6eed9,100361,Open with Enumerations,Appliances,No,"RESI,RLSE,RINC,MOBI,FARM,COMS,COML",IDX,2018-12-26,2021-06-17,,Appliances Field,https://ddwiki.reso.org/display/DDW20/Appliances+Field,2104913,,,
Property,ArchitecturalStyle,Architectural Style,"A list describing the style of the structure (e.g., Victorian, Ranch, Craftsman).",Structure,"String List, Multi",,1024,,Style,Style architectural,Estilo Arquitectónico,Active,4e4abf3,100345,Open with Enumerations,ArchitecturalStyle,No,"RESI,RLSE,RINC,MOBI,FARM",IDX,2018-12-26,2023-08-25,,ArchitecturalStyle Field,https://ddwiki.reso.org/display/DDW20/ArchitecturalStyle+Field,2104950,,,
Property,AssociationAmenities,Association Amenities,"The amenities provided by the homeowner association, mobile park or complex (e.g., pool, clubhouse).",HOA,"String List, Multi",,1024,,"AssociationRules, AssociationInfo, HOAAmenities",Commodités offertes par l’association,Servicios de la Asociación,Active,6fa6942,100228,Open with Enumerations,AssociationAmenities,No,"RESI,RLSE,RINC,LAND,MOBI",IDX,2018-12-26,2021-06-17,,AssociationAmenities Field,https://ddwiki.reso.org/display/DDW20/AssociationAmenities+Field,2104931,,,
Property,AssociationFee,Association Fee,"A fee paid by the homeowner to the homeowner association that is used for upkeep of common areas, the neighborhood or other association-related benefits.",HOA,Number,,14,2,"HOAFee, CAM Charge, Condo Charge",Frais payés à l’association,Tarifa de Asociación,Active,c0001f1,100223,,,No,"RESI,RLSE,RINC,LAND,MOBI",IDX,2018-12-26,2021-06-17,,AssociationFee Field,https://ddwiki.reso.org/display/DDW20/AssociationFee+Field,2104937,,,
Property,AssociationFee2,Association Fee 2,"A fee paid by the homeowner to the second of two homeowner associations that is used for upkeep of common areas, the neighborhood or other association-related benefits.",HOA,Number,,14,2,HOAFee2,Frais payés à l’association 2,Tarifa de Asociación2,Active,09491fe,100225,,,No,"RESI,RLSE,RINC,LAND,MOBI",,2011-11-09,2021-06-17,,AssociationFee2 Field,https://ddwiki.reso.org/display/DDW20/AssociationFee2+Field,2104942,,,
